id_plot,project,original_code,site,loc,type,size_m,size,gps,precision GPS,selected,cause
69,dendro_sn,A08,SJ,GEN,circular,r=10,314.1593,LeicaGS20,,TRUE,
70,dendro_sn,A09,SJ,GEN,circular,r=10,314.1593,LeicaGS20,,TRUE,
71,dendro_sn,A10,SJ,GEN,circular,r=10,314.1593,LeicaGS20,,FALSE,overlap
72,dendro_sn,A11,SJ,GEN,circular,r=10,314.1593,LeicaGS20,,FALSE,overlap
73,dendro_sn,A12,SJ,GEN,circular,r=10,314.1593,LeicaGS20,,TRUE,
74,dendro_sn,A13,SJ,GEN,circular,r=10,314.1593,LeicaGS20,,TRUE,
75,dendro_sn,A14,SJ,GEN,circular,r=10,314.1593,LeicaGS20,,TRUE,
76,dendro_sn,A15,SJ,GEN,circular,r=10,314.1593,LeicaGS20,,TRUE,
77,dendro_sn,A16,SJ,GEN,circular,r=10,314.1593,LeicaGS20,,TRUE,
78,dendro_sn,A17,SJ,GEN,circular,r=10,314.1593,LeicaGS20,,TRUE,
79,dendro_sn,A18,SJ,GEN,circular,r=10,314.1593,LeicaGS20,,FALSE,overlap
80,dendro_sn,A19,SJ,GEN,circular,r=10,314.1593,LeicaGS20,,FALSE,overlap
81,dendro_sn,A20,SJ,GEN,circular,r=10,314.1593,LeicaGS20,,TRUE,
82,dendro_life,CANAR_LOW,CA,CAN,circular,r=10,314.1593,LeicaZeno20,,TRUE,
83,dendro_life,CANAR_HIGH,CA,CAN,circular,r=9,254.469,LeicaZeno20,,TRUE,
84,obsnev,A-3,MONACHIL,MON,cuadrado,20x20,400,Garmin eTreX Vista HCX,5,TRUE,
85,obsnev,B-3,MONACHIL,MON,cuadrado,20x20,400,Garmin eTreX Vista HCX,5,TRUE,
86,obsnev,C-3,MONACHIL,MON,cuadrado,20x20,400,Garmin eTreX Vista HCX,5,TRUE,
87,qp_dasometrico,CAM1,CAMARATE,CAM,circular,r=15,706.8583,LeicaZeno20,,TRUE,
88,qp_dasometrico,CAM2,CAMARATE,CAM,circular,r=16,804.2477,LeicaZeno20,,TRUE,
89,qp_dasometrico,CAM3,CAMARATE,CAM,circular,r=10,314.1593,LeicaZeno20,,TRUE,
90,qp_dasometrico,CAM4,CAMARATE,CAM,circular,r=10,314.1593,LeicaZeno20,,TRUE,
91,qp_dasometrico,CAM5,CAMARATE,CAM,circular,r=10,314.1593,LeicaZeno20,,TRUE,
92,robledal_life,CAN_RES_24,CANAR,CAN,circular,r=15,706.8583,Garmin eTreX Vista HCX,,TRUE,
93,robledal_life,CAN_RES_23,CANAR,CAN,circular,r=15,706.8583,Garmin eTreX Vista HCX,,TRUE,
94,robledal_life,CAN_CON_22,CANAR,CAN,circular,r=15,706.8583,Garmin eTreX Vista HCX,,TRUE,
95,robledal_life,CAN_RES_37,CANAR,CAN,circular,r=15,706.8583,Garmin eTreX Vista HCX,,TRUE,
96,robledal_life,CAN_RES_35,CANAR,CAN,circular,r=15,706.8583,Garmin eTreX Vista HCX,,TRUE,
97,robledal_life,CAN_CON_34,CANAR,CAN,circular,r=15,706.8583,Garmin eTreX Vista HCX,,TRUE,
98,robledal_life,CAN_CON_33,CANAR,CAN,circular,r=15,706.8583,Garmin eTreX Vista HCX,,TRUE,
99,robledal_life,CAN_RES_38,CANAR,CAN,circular,r=15,706.8583,Garmin eTreX Vista HCX,,TRUE,
100,robledal_life,CAN_RES_21,CANAR,CAN,circular,r=15,706.8583,Garmin eTreX Vista HCX,,TRUE,
101,robledal_life,CAN_RES_31,CANAR,CAN,circular,r=15,706.8583,Garmin eTreX Vista HCX,,TRUE,
102,robledal_life,CAN_RES_25,CANAR,CAN,circular,r=15,706.8583,Garmin eTreX Vista HCX,,TRUE,
103,robledal_life,CAN_RES_27,CANAR,CAN,circular,r=15,706.8583,Garmin eTreX Vista HCX,,TRUE,
104,robledal_life,CAN_RES_28,CANAR,CAN,circular,r=15,706.8583,Garmin eTreX Vista HCX,,TRUE,
105,robledal_life,CAN_RES_30,CANAR,CAN,circular,r=15,706.8583,Garmin eTreX Vista HCX,,TRUE,
106,robledal_life,CAN_RES_29,CANAR,CAN,circular,r=15,706.8583,Garmin eTreX Vista HCX,,TRUE,
107,robledal_life,CAN_CON_26,CANAR,CAN,circular,r=15,706.8583,Garmin eTreX Vista HCX,,TRUE,
108,qp_dasometrico,DUR1,DURCAL,DUR,circular,r=9,254.469,LeicaZeno20,,TRUE,
109,qp_dasometrico,DUR2,DURCAL,DUR,circular,r=9,254.469,LeicaZeno20,,TRUE,
110,qp_dasometrico,DUR3,DURCAL,DUR,circular,r=9,254.469,LeicaZeno20,,TRUE,
111,qp_dasometrico,DUR4,DURCAL,DUR,circular,r=9,254.469,LeicaZeno20,,TRUE,
112,qp_dasometrico,DUR5,DURCAL,DUR,circular,r=9,254.469,LeicaZeno20,,TRUE,
113,qp_dasometrico,DIL1,DILAR,DIL,circular,r=9,254.469,LeicaZeno20,,TRUE,
114,qp_dasometrico,DIL2,DILAR,DIL,circular,r=9,254.469,LeicaZeno20,,TRUE,
115,qp_dasometrico,DIL3,DILAR,DIL,circular,r=9,254.469,LeicaZeno20,,TRUE,
116,qp_dasometrico,DIL4,DILAR,DIL,circular,r=9,254.469,LeicaZeno20,,TRUE,
117,qp_dasometrico,DIL5,DILAR,DIL,circular,r=9,254.469,LeicaZeno20,,TRUE,
118,qp_dasometrico,POR1,PORTUGOS,TRE,circular,r=10,254.469,LeicaZeno20,,TRUE,
119,qp_dasometrico,POR2,PORTUGOS,TRE,circular,r=11,254.469,LeicaZeno20,,TRUE,
120,qp_dasometrico,POR3,PORTUGOS,TRE,circular,r=12,254.469,LeicaZeno20,,TRUE,
121,qp_dasometrico,POR4,PORTUGOS,TRE,circular,r=13,254.469,LeicaZeno20,,TRUE,
122,qp_dasometrico,PAM1,POQUEIRA,POQ,circular,r=14,254.469,LeicaZeno20,,TRUE,
123,qp_dasometrico,PAM2,POQUEIRA,POQ,circular,r=15,254.469,LeicaZeno20,,TRUE,
124,qp_dasometrico,PAM3,POQUEIRA,POQ,circular,r=16,254.469,LeicaZeno20,,TRUE,
125,qp_dasometrico,PAM4,POQUEIRA,POQ,circular,r=17,254.469,LeicaZeno20,,TRUE,
